iter	RMSE
0	2132.563184
1	1712.760402
2	1442.888042
3	1288.430209
4	1191.85741
5	1138.53301
6	1111.478849
7	1097.677005
8	1087.183104
9	1078.664456
10	1075.510268
11	1071.363213
12	1068.696915
13	1067.306839
14	1064.70393
15	1064.672435
16	1063.976882
17	1063.438349
18	1060.539607
19	1059.923061
20	1059.044314
21	1058.369506
22	1057.64432
23	1056.81837
24	1056.134354
25	1054.31484
26	1053.626561
27	1052.188634
28	1049.254186
29	1047.663641
30	1046.983077
31	1045.595445
32	1042.851858
33	1041.16086
34	1039.409005
35	1036.981586
36	1036.275474
37	1034.360931
38	1033.563226
39	1032.218074
40	1030.664057
41	1028.695803
42	1028.011654
43	1026.935183
44	1023.884135
45	1022.601942
46	1020.602232
47	1019.721063
48	1017.58935
49	1016.415052
50	1015.264283
51	1014.238849
52	1011.202997
53	1010.576457
54	1009.629504
55	1008.115
56	1006.519721
57	1005.306781
58	1002.928832
59	1000.822298
60	999.9567443
61	998.0665555
62	995.6304548
63	993.9833409
64	992.0288013
65	991.2903728
66	990.445322
67	988.6866098
68	987.3688981
69	986.0741077
70	984.7670646
71	983.9092459
72	983.48939
73	980.9874402
74	978.7862328
75	978.2357243
76	976.5387452
77	975.0184319
78	972.9333265
79	971.907614
80	971.4421042
81	969.8341423
82	968.8622665
83	967.8561012
84	966.1534466
85	964.7811923
86	963.7327204
87	962.6969812
88	961.804749
89	960.8859514
90	959.2343996
91	958.4461931
92	956.3781694
93	955.3923002
94	954.315555
95	953.0548044
96	952.2615678
97	950.8121514
98	949.4796759
99	947.5368439
