iter	Passed	Remaining
0	61	6067
1	67	3298
2	76	2460
3	82	1991
4	90	1715
5	95	1489
6	100	1336
7	105	1215
8	111	1123
9	115	1043
10	121	985
11	126	928
12	131	876
13	135	835
14	140	794
15	142	749
16	146	717
17	151	688
18	155	663
19	159	639
20	164	617
21	168	596
22	172	577
23	176	559
24	180	542
25	185	527
26	189	512
27	193	498
28	197	484
29	202	471
30	206	459
31	211	448
32	215	436
33	219	425
34	223	415
35	227	405
36	232	395
37	236	385
38	240	376
39	244	366
40	248	358
41	253	349
42	257	341
43	271	345
44	287	351
45	306	359
46	339	382
47	361	391
48	372	388
49	380	380
50	386	371
51	392	362
52	398	353
53	405	345
54	410	336
55	418	329
56	425	320
57	432	313
58	439	305
59	445	296
60	451	288
61	460	282
62	469	275
63	477	268
64	485	261
65	492	253
66	500	246
67	508	239
68	515	231
69	522	224
70	532	217
71	540	210
72	548	202
73	556	195
74	563	187
75	570	180
76	576	172
77	582	164
78	589	156
79	595	148
80	601	141
81	607	133
82	614	125
83	620	118
84	626	110
85	632	102
86	638	95
87	645	88
88	658	81
89	668	74
90	677	67
91	685	59
92	693	52
93	700	44
94	708	37
95	716	29
96	725	22
97	732	14
98	740	7
99	748	0
